"Date","Price","Open","High","Low","Vol.","Change %"
"08/10/2024","5.040","4.970","5.040","4.950","629.41K","0.60%"
"07/10/2024","5.010","5.020","5.020","4.965","283.29K","0.40%"
"04/10/2024","4.990","4.980","5.020","4.950","491.84K","-0.99%"
"03/10/2024","5.040","4.940","5.050","4.930","1.16M","2.02%"
"02/10/2024","4.940","4.890","4.960","4.870","739.84K","1.02%"
"01/10/2024","4.890","4.920","4.920","4.830","825.51K","-0.61%"
"30/09/2024","4.920","4.960","4.960","4.880","1.06M","-0.40%"
"27/09/2024","4.940","4.900","4.940","4.890","936.75K","0.61%"
"26/09/2024","4.910","4.740","4.920","4.730","1.50M","5.59%"
"25/09/2024","4.650","4.680","4.700","4.630","842.92K","-1.06%"
"24/09/2024","4.700","4.740","4.760","4.680","1.05M","-0.84%"
"23/09/2024","4.740","4.750","4.770","4.700","555.54K","-0.84%"
"20/09/2024","4.780","4.890","4.890","4.760","1.54M","-2.05%"
"19/09/2024","4.880","4.900","4.910","4.860","1.29M","-0.61%"
"18/09/2024","4.910","4.800","4.920","4.750","1.14M","1.66%"
"17/09/2024","4.830","4.870","4.880","4.800","641.26K","-0.82%"
"16/09/2024","4.870","4.940","4.940","4.860","412.60K","-1.22%"
"13/09/2024","4.930","4.940","4.945","4.850","910.37K","0.20%"
"12/09/2024","4.920","4.940","4.940","4.840","892.81K","-0.20%"
"11/09/2024","4.930","4.960","4.970","4.920","875.87K","-1.00%"
"10/09/2024","4.980","5.040","5.040","4.955","988.64K","-0.60%"
"09/09/2024","5.010","4.960","5.040","4.940","947.83K","0.40%"
"06/09/2024","4.990","4.960","5.020","4.950","606.62K","0.40%"
"05/09/2024","4.970","4.900","4.990","4.880","3.99M","1.84%"
"04/09/2024","4.880","4.930","4.990","4.820","1.68M","-1.61%"
"03/09/2024","4.960","4.990","5.030","4.920","1.82M","-0.40%"
"02/09/2024","4.980","4.880","5.000","4.780","1.59M","0.40%"
"30/08/2024","4.960","4.580","5.000","4.580","3.79M","8.30%"
"29/08/2024","4.580","4.650","4.655","4.560","1.39M","-1.51%"
"28/08/2024","4.650","4.630","4.690","4.630","729.03K","0.22%"
"27/08/2024","4.640","4.650","4.710","4.640","904.08K","-0.22%"
"26/08/2024","4.650","4.580","4.670","4.580","523.35K","1.97%"
"23/08/2024","4.560","4.530","4.610","4.510","700.67K","0.44%"
"22/08/2024","4.540","4.540","4.560","4.510","1.24M","0.00%"
"21/08/2024","4.540","4.540","4.550","4.490","715.30K","-0.22%"
"20/08/2024","4.550","4.520","4.570","4.450","2.51M","0.66%"
"19/08/2024","4.520","4.560","4.590","4.520","658.00K","-0.88%"
"16/08/2024","4.560","4.600","4.620","4.560","1.19M","0.00%"
"15/08/2024","4.560","4.580","4.600","4.520","1.01M","0.22%"
"14/08/2024","4.550","4.600","4.600","4.520","1.01M","0.22%"
"13/08/2024","4.540","4.480","4.540","4.410","1.82M","2.25%"
"12/08/2024","4.440","4.520","4.520","4.420","3.10M","-1.33%"
"09/08/2024","4.500","4.500","4.520","4.450","645.57K","0.67%"
"08/08/2024","4.470","4.500","4.520","4.460","588.81K","-0.45%"
"07/08/2024","4.490","4.470","4.540","4.470","566.04K","0.00%"
"06/08/2024","4.490","4.520","4.590","4.480","1.12M","-0.44%"
"05/08/2024","4.510","4.560","4.715","4.510","2.30M","-1.96%"
"02/08/2024","4.600","4.570","4.630","4.560","525.32K","-1.08%"
"01/08/2024","4.650","4.640","4.690","4.570","844.02K","-2.11%"
"31/07/2024","4.750","4.740","4.760","4.695","1.87M","1.06%"
"30/07/2024","4.700","4.660","4.720","4.630","527.03K","-0.21%"
"29/07/2024","4.710","4.600","4.720","4.580","903.26K","3.29%"
"26/07/2024","4.560","4.570","4.610","4.550","798.77K","0.44%"
"25/07/2024","4.540","4.570","4.590","4.530","1.23M","-1.94%"
"24/07/2024","4.630","4.630","4.660","4.590","393.20K","0.00%"
"23/07/2024","4.630","4.640","4.640","4.595","578.65K","0.22%"
"22/07/2024","4.620","4.590","4.640","4.570","621.72K","-0.43%"
"19/07/2024","4.640","4.630","4.670","4.610","765.51K","-0.85%"
"18/07/2024","4.680","4.740","4.750","4.670","682.70K","-1.06%"
"17/07/2024","4.730","4.730","4.750","4.700","584.23K","0.64%"
